абазия | abasia, ае / | abaziya
артикуляция речи | articulatio, onis f | sozley§in artikulyasiyasy
артифициальный | artiflcialis, e | artifisial; emeli yasalan
яптралгия | arthralgia, ae f | artralgiya; bogun agyrysy
артрит | arthritis, tidis f | artrit
- деформирующий | arthritis deformans | deformirleyji artrit
- инфекционный | arthritis infectiosa | infeksion, yokanc artrit
- неспецифический, или ревматоидный | infectarthritis, tidis f | spesifik (mahsus) bolmadyk yada rewmatoid artrit
- определенной этиологии | arthritis infectiosa; rheumatoidum, i n | sebabi takyk bolan artrit
- множественный | polyarthritis, tidis f | poliartrit
артритизм, артритический диатез | arthritismus, i m | artritizm; artrit diatezi
артритный спирохетоз | spirochaetosis arthritica | artrit spirohetozy
артрогрипоз | arthrogryposis, is f | artrogripoz
артродез | arthrodesis, is f | artrodez
артроз | arthrosis, is f | artroz; bogun keseli
- деформирующий | arthrosis deformans | deformirleyji artroz
- тазобедренного сустава | coxarthrosis, is f | yanaklyk-but bognunyn artrozy
артролиз | arthrolysis, is f | artroliz
артропатия | arthropathia, ae f | artropatiya
артропластика | arthroplastica, ae f | artroplastika; bogun plastikasy
артрориз | arthrorhisis, | artroriz
артротомия | arthrotomia, ae f | artrotomiya
Артюса феномен | Arthusi phaenomenum | Artyusyn fenomeni
асбестоз | asbestosis, is f | asbestoz
асептический | stcrilis, e | aseptiki
асинклитизм, асинкли тическое вставление | asynclitismus, i m | asinklitizm; c;aga dogurma wagtynda ^aganyn kellesinin gelmegi
асистолия | asystolia, ae f | asistoliya
аскарида червеобразная | Ascaris lumbricoides | gur^uk gornii§li askarida
аскаридоз | ascaridosis, is f | askaridoz
Асколи реакция | Ascolii reactio | Askolinin reaksiyasy
аспергиллез | aspergillosis, is f | aspergillyoz
асперматизм | aspermatismus, i m | aspermatizm; dolsuzlik
аспермия | aspermia, ae f | aspermiya; dolsiiz
аспирация | aspiratio, onis f | aspirasiya; sorma
ассимиляция | anabolismus, i m | assimilyasiya; sindirme; 6zle§dirme
астазия | astasia, ae f | astaziya
астенический габитус, астеническое телосложение | habitus asthenicus | asteniki beden gurlusly
астения, астенический синдром | asthenia, ae f | asteniya; asteniki sindrom; ysgynsyzlyk; gow§aklyk
- эмоциональная | cataplexia, ae f | katafleksiya; emosional asteniya
астенопия | asthenopia, ae f | astenopiya
астереогнозия | astereoagnosia, ae f | astereognoziya; duygynyn yitmegi
астигматизм | astigmatismus, i m | astigmatizm
астма | asthma, atis n | astma; demgysma
- бронхиальная | asthma bronchiale | bronhial astma; demgysma
- сенная | catarrhus aestivus | osiimliklerin tozanjyklaryndan doreyan astma, demgysma
- сердечная | asthma cardiale | yiirek astmasy; demgysmasy
астматическое состояние | status asthmaticus | astmatik yagday; demgysmadaky yagday
асфиксия | asphyxia, ae f | asfiksiya; demikmek
- местная, или локальная | asphyxia localis | lokal; yerli asfiksiya
- новорожденных | asphyxia neonatorum | taze doglan ^agalardaky asfiksiya; demikme
- травматическая | asphyxia traumatica | trawmatik asfiksiya; demikme
асцит | ascites, ae m | assit
атавизм | atavismus, i m | atawizm
атаксия | ataxia, ae f | ataksiya; tentireklemek
атарактическис лекарства | ataractica (remedia) n/pl | ataraktiki, ko§e§diriji dermanlar
ателектаз | atelectasis, is f | atelektaz; pyssarmak
атерома | atheroma, atis n | ateroma
атероматоз | atheromatosis, is f | ateromatoz
атеросклероз, атеросклероз артерий | atherosclerosis, is f | ateroskleroz; arteriyanyn aterosklerozy
атетоз | athetosis, is f | atetoz; ellerin erksiz sandyramagy
атипический, атипичный | atypicus, a, um | atipik; bimenze§; menze§ bolmadyk
атиреоз | athyreosis, is f | atireoz
атлант | atlas, ntis m | atlant; birinji boyun onurgasy
атония | atonia, ae f | atoniya; go weakly k; ysgynsyz-' lyk
атрезия | atresia, ae f | atreziya
атрепсия | athrepsia, ae f | atrepsiya
атрептический иммунитет | athrepsia, ae f | atrepsiya; atreptiki immunitet
атрио-вентрикулярный узел | nodus atrioventricularis | atrio-wentrikulyar diiwni
атрихия, атрихоз | atrichosis, й / | atrihiya; atrihoz; sa^yn 6su§den galmagy
атрофический, атрофированный | atrophicus, a, um | atrofiki; atrofirlenen; in^elen
атрофия | atrophia, ae / ; phthisis, is f | atrofiya; horlanma; in^elme
- вульвы прогрессивная | craurosis vulvae | wulwanyn progressiw atrofiyasy
- глазного яблока | phthisis bulbi | goz almasynyn atrofiyasy
- десен | ulatrophia, ae fd i | di§ etlerinin (kentlewuklerin) atrofiyasy
- мускулатуры прогресси­ | dystrophia musculorum | my§sanyn progressirleyan
рующая | progressiva | atrofiyasy
- мышц, мышечная атрофия | myatrophia, ae f | my§salaryn atrofiyasy
- печени острая, желтая | atrophia acuta flava hcpatis | bagryn yiti, sary atrofiyasy
атака | crisis, is f | krizis; hiijiim
аттенюация | attenuatio, onis f | attenyuasiya; yum§amak; gow§amak
аттенюированный | attenuatus, a, um | attenyuirlenen; gow§an; um§an
аура | aura, ae f | aura
аурикулярный . | auricularis, e | aurikulyar; gulak.. . , gulaga degi§li
аускультация | auscultatio, onis f | auskultasiya; dinlemek
аутовакцина | autovaccinum, i n | autowaksina; ozunden ondiiirilen waksina
аутогемотерапия | autohaemotherapia, ae f | autogemoterapiya; oz ganyny guyup bejermek
аутогенная инфекция | autoinfectio, onis f | autogen infeksiya; ozunden infeksiyala$mak
аутогенный | autogenes, is | autogen; ozunden doreyan
аутоинтоксикация | autointoxicatio, onis f | autointoksikasiya; ozunden zaherlenmek
аутоинфекция | autoinfectio, onis f | autoinfeksiya; oz infeksiyasyndan yoku^mak
аутотиз | autolysis, is f | autoliz; oz-oziinden eremek
аутопластика | autoplastica, ae f | autoplastika; oz dokumasyndan alyp oturtmak
аутосеротерапия | autoserotherapia, ae f | autoseroterapiya; oz syworotkasy biltn bejermek
аутосуггестия | autosuggestio, onis f | autosuggectiya; oz-ozuni ynandyrmak
аутотрансфузия | autotransfusio, onis f | autotransfuziya; oz ganyny oziine guymak
аутофагия | autophagia, ae f | autofagiya
аутохтонный | autochthonus, a, um | autohtonly; yerli
аутопсия | autopsia, ae f | autopsiya; jesedi kesmek
афагия | aphagia, ae f | afagiya; yuwdup bilmezlik
афазия | aphasia, ae f | afaziya; geplap bilmezlik
- врожденная | audimutitas, atis f | dogabitdi geplap bilmezlik
афакия | aphakia, ae f | afakiya; goz hrustaliginin (merjenjiginin) bolmazlygy
афебрильный | afebrilis, e; apyreticus, a, um | afebril; gyzgynsyz
афибриногенемия | afibrinogenaemia, ae f | afibrinogenemiya
афония | aphonia, ae f | afoniya; sessHik
афродизиака | aphrodisiaca (remedia) n/pl | afrodiziaka
афты | aphthae, arum f/pl | aftlar; agzyn nemli perdesinde peyda bolyan sary, ^al renkli gyzylja gaymaly ba^jagazlar
- рецидивирующие | aphthae, recidivantes, aphthae communes | gaytalanyan aftlar
- тропические | psilosis linguae | tropiki aftlar
афферентный | afferens, ntis: centripetalis, e | afferent; duyujy
аффект | affectus, us т\ emotio, onis f | alTekt; go?gunlik yagdayy
кЬфишггет | atfinitas, atis f | afflnitct
ах»та?1н | achalasia, ae f | ahalaziya ; kardiospazm
ахейлня | acheilia, ae f | aheyliya
ахнлическая хлоранемия | chloranaemia, ae f | hloranemiya; ahilik hloranemiya
ахилия | achvlia, ae f | ahiliya
- ж_‘ тдочная | achylia gastrira | a§gazan ahiP^asy
- панкреатическая | achylia parcrcatica | pankreatiki ahiliya
Ахиттов рефлекс | reflexus tendinis \chilILs | Uhillowyn refleksi
Ахиллово сухожилие | tendo calcaneus | \hillowyn siniri
ахлоргидрия | dilorhydna, ae f | ahlorgidriya
ахолия | a'holia, ae f | aholiya; otsiizlik
ахпоматоз, ахромия | achromatflsis, is f | ahromatoz; renksizlik
ахрол гатопсия | achromatopsia, ae f | ahromatopisya; renk saygarmazlyk
ацетонемия | acetonaemi.», ae f | asetonemiya
ацетонурия | acetonuria, ae f | asetonuriya
ацефалия | acephalia, ae / | asefaliya
ацидоз | acidosis, is f | asidoz
аццдофильныи | acidophilus, a, um | asidofil
ацннозный | acinosus, a, um | asinozly
i иинус | acinus, i m | asinus; dyken haltajygy
Ашгейма-Цондека реакция | Aschheim-Zondel: reactio | '. y;e y m-Sonuegi n reaksiyasy
Ашнера рефлекс | Aschneri “ h," enomenum sive reflexus | Apierin refleksi; goz-yurek refleksi
Ашофф-Тавара узел | nodus atrioventricularis | A§off-Tawaryn duwni
/шофф-Тлталаева гран} тема | AschofT-Talalaev nodulus | A§off-TaIalayewin diiwunjikleri; granulyomasy
алмк'чи | aerootitis, tidis f | aerootit
аэросинусит | aerosinusiti s, tidis f | aerosinusit '
аэоо«срапия | aerotherapta, ae f | aeroterapiya; howa bilen hejernie
гчтофагия | и rophagia, ae f | aerofagiya; ho и a yuwutmak
г зрофобия | aerophobia, ae f | aerofobiya
i-> >инского рефлекс | labinskii reflexus | Babinskinin refleksi
Бадда-Киари синдром | Chiarii morbus | Badda-Kiarinin sindronr
база | basis, is f | baza; esas
база 1ьиок геточный рак | epithelioma basoceUuiare | < pitelioma
базальный | basalis, e (basialis, e basilaris, | bazal; es&>
Базедова болезнь | “asedow* morbus; thyreotoxicosis, is f | treotoksikoz; Bazedowyn L eseli
базедовнфикация | bascdowi ficatioy onis f | Bazedowifikasiya
3 базельская анатомическая | BNA (Raseliana nomina | bazei anatomiki nomenkla-
номенклатура | anatomica) | turasy
базилярный менингит | meningitis basilaris | bazilyar meningit
